01|37075|10039|21738
02|37222|10035|31078
03|40902|10032|54744
04|46259|10002|70878
05|46838|10034|37785
06|48180|10040|46585
07|50332|10026|25925
08|51241|10030|26058
09|51413|10031|59450
10|52945|10037|16994
11|53967|10033|59049
12|56937|10029|76271
13|57767|10027|57049
14|78138|10009|56975
15|79288|10110|33
16|89760|10038|15435
17|89879|10036|18660
18|107615|10199|10
19|108784|10069|1843
20|112009|10025|96117
21|112292|10018|4255
22|116427|10162|1726
23|117866|10044|9519
24|123113|10001|17678
25|133175|10019|39048
26|135999|10012|26464
27|137106|10010|27322
28|137738|10013|24723
29|138990|10280|4298
30|139331|10003|53609
31|143247|10278|2
32|144872|10016|49904
33|146411|10170|1
34|146411|10171|1
35|147680|10020|1
36|149724|10017|16231
37|151404|10165|7
38|156683|10004|1271
39|156776|10006|972
40|158965|10022|26460
41|160937|10011|45899
42|162205|10014|32867
43|163763|10005|1517
44|180473|10128|59434
45|188422|10075|25187
46|191408|10024|61485
47|191674|10065|31500
48|192258|10028|40914
49|194366|10023|59002
50|198530|10021|44173
51|256236|10007|3520
